Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39
0,0,9,0,2,5,8,7,6,9,0,1,4,8,8,1,1,3,7,2,0,5,5,3,7,7,5,9,1,6,8,9,8,4,3,6,0,2,5,8,0,7
0,1,3,6,9,7,5,2,6,9,0,1,4,8,8,1,1,3,7,2,0,5,5,3,7,7,5,9,1,2,6,9,8,4,3,6,0,2,5,8,0,7
0,2,3,6,9,7,5,2,6,9,0,1,4,8,8,1,1,3,7,2,0,5,5,3,0,1,8,9,1,2,6,9,8,4,3,6,5,6,5,8,0,7
0,3,3,2,6,7,5,2,6,9,0,0,4,8,7,4,0,3,7,2,0,5,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,8,0,7
0,4,3,2,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,5,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,8,0,7
0,5,2,2,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,5,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,8,0,7
0,6,2,2,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,8,0,7
0,7,2,2,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,8,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,9,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,10,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,11,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,12,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,13,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,14,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,15,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,16,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,17,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,18,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,19,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,20,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,21,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
0,22,2,5,6,7,5,2,6,9,0,0,4,8,7,4,7,3,7,2,0,4,5,3,0,1,8,9,1,2,6,9,8,8,3,6,5,6,5,1,0,7
