Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30
0,0,9,0,2,5,8,7,6,9,0,1,4,8,8,1,1,3,2,6,4,5,3,3,2,1,7,0,1,5,6,9,0
0,1,6,2,9,2,8,7,6,9,0,1,4,8,8,1,1,3,9,2,4,5,3,3,2,1,3,0,1,5,6,9,0
0,2,6,2,9,2,8,7,6,9,0,4,4,8,4,1,1,9,9,2,4,5,3,3,2,0,3,0,6,5,6,9,0
0,3,6,2,9,2,8,7,6,9,0,4,4,8,4,1,1,9,9,2,4,5,3,3,2,0,2,0,6,5,6,9,0
0,4,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,5,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,6,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,7,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,8,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,9,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,10,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,11,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,12,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,13,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
0,14,6,2,9,2,8,7,6,9,0,2,4,8,4,1,1,9,9,2,4,5,9,3,2,0,2,0,6,5,6,9,0
